,Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
262,IDCJAC0009,70351,2008,9,19,0.0,1.0,N
263,IDCJAC0009,70351,2008,9,20,0.0,1.0,N
264,IDCJAC0009,70351,2008,9,21,0.0,1.0,N
265,IDCJAC0009,70351,2008,9,22,0.0,1.0,N
266,IDCJAC0009,70351,2008,9,23,13.2,1.0,N
267,IDCJAC0009,70351,2008,9,24,0.0,1.0,N
268,IDCJAC0009,70351,2008,9,25,0.0,1.0,N
269,IDCJAC0009,70351,2008,9,26,0.0,1.0,N
270,IDCJAC0009,70351,2008,9,27,0.0,1.0,N
271,IDCJAC0009,70351,2008,9,28,0.0,1.0,N
272,IDCJAC0009,70351,2008,9,29,0.0,1.0,N
273,IDCJAC0009,70351,2008,9,30,0.0,1.0,N
274,IDCJAC0009,70351,2008,10,1,0.0,1.0,N
275,IDCJAC0009,70351,2008,10,2,0.0,1.0,N
276,IDCJAC0009,70351,2008,10,3,0.0,1.0,N
277,IDCJAC0009,70351,2008,10,4,6.6,1.0,N
278,IDCJAC0009,70351,2008,10,5,2.6,1.0,N
279,IDCJAC0009,70351,2008,10,6,0.0,1.0,N
280,IDCJAC0009,70351,2008,10,7,5.6,1.0,N
281,IDCJAC0009,70351,2008,10,8,0.0,1.0,N
282,IDCJAC0009,70351,2008,10,9,0.0,1.0,N
283,IDCJAC0009,70351,2008,10,10,0.0,1.0,N
284,IDCJAC0009,70351,2008,10,11,0.0,1.0,N
285,IDCJAC0009,70351,2008,10,12,0.0,1.0,N
286,IDCJAC0009,70351,2008,10,13,0.0,1.0,N
287,IDCJAC0009,70351,2008,10,14,11.4,1.0,N
288,IDCJAC0009,70351,2008,10,15,0.4,1.0,N
289,IDCJAC0009,70351,2008,10,16,0.0,1.0,N
290,IDCJAC0009,70351,2008,10,17,0.0,1.0,N
291,IDCJAC0009,70351,2008,10,18,0.0,1.0,N
292,IDCJAC0009,70351,2008,10,19,0.0,1.0,N
293,IDCJAC0009,70351,2008,10,20,0.0,1.0,N
294,IDCJAC0009,70351,2008,10,21,0.0,1.0,N
295,IDCJAC0009,70351,2008,10,22,0.8,1.0,N
296,IDCJAC0009,70351,2008,10,23,0.0,1.0,N
297,IDCJAC0009,70351,2008,10,24,0.0,1.0,N
298,IDCJAC0009,70351,2008,10,25,0.0,1.0,N
299,IDCJAC0009,70351,2008,10,26,0.0,1.0,N
300,IDCJAC0009,70351,2008,10,27,0.0,1.0,N
301,IDCJAC0009,70351,2008,10,28,0.0,1.0,N
302,IDCJAC0009,70351,2008,10,29,0.0,1.0,N
305,IDCJAC0009,70351,2008,11,1,0.0,,Y
306,IDCJAC0009,70351,2008,11,2,0.0,,Y
307,IDCJAC0009,70351,2008,11,3,13.0,1.0,Y
308,IDCJAC0009,70351,2008,11,4,0.0,,Y
309,IDCJAC0009,70351,2008,11,5,0.0,,Y
310,IDCJAC0009,70351,2008,11,6,0.0,,Y
311,IDCJAC0009,70351,2008,11,7,0.0,,Y
312,IDCJAC0009,70351,2008,11,8,6.6,1.0,Y
313,IDCJAC0009,70351,2008,11,9,0.0,,Y
314,IDCJAC0009,70351,2008,11,10,0.0,,Y
315,IDCJAC0009,70351,2008,11,11,0.0,,Y
316,IDCJAC0009,70351,2008,11,12,0.0,,Y
317,IDCJAC0009,70351,2008,11,13,0.0,,Y
318,IDCJAC0009,70351,2008,11,14,0.0,,Y
319,IDCJAC0009,70351,2008,11,15,3.0,1.0,Y
320,IDCJAC0009,70351,2008,11,16,0.0,,Y
321,IDCJAC0009,70351,2008,11,17,0.0,,Y
322,IDCJAC0009,70351,2008,11,18,0.0,,Y
323,IDCJAC0009,70351,2008,11,19,0.0,,Y
324,IDCJAC0009,70351,2008,11,20,10.4,1.0,Y
325,IDCJAC0009,70351,2008,11,21,0.4,1.0,Y
326,IDCJAC0009,70351,2008,11,22,2.8,1.0,Y
327,IDCJAC0009,70351,2008,11,23,13.0,1.0,Y
328,IDCJAC0009,70351,2008,11,24,2.8,1.0,Y
329,IDCJAC0009,70351,2008,11,25,0.0,,Y
330,IDCJAC0009,70351,2008,11,26,0.0,,Y
331,IDCJAC0009,70351,2008,11,27,0.0,,Y
333,IDCJAC0009,70351,2008,11,29,12.2,2.0,Y
334,IDCJAC0009,70351,2008,11,30,3.4,1.0,Y
335,IDCJAC0009,70351,2008,12,1,0.0,,Y
336,IDCJAC0009,70351,2008,12,2,0.0,,Y
337,IDCJAC0009,70351,2008,12,3,0.0,,Y
338,IDCJAC0009,70351,2008,12,4,0.0,,Y
339,IDCJAC0009,70351,2008,12,5,0.2,1.0,Y
340,IDCJAC0009,70351,2008,12,6,0.2,1.0,Y
341,IDCJAC0009,70351,2008,12,7,0.0,,Y
342,IDCJAC0009,70351,2008,12,8,0.0,,Y
343,IDCJAC0009,70351,2008,12,9,0.0,,Y
344,IDCJAC0009,70351,2008,12,10,0.0,,Y
345,IDCJAC0009,70351,2008,12,11,0.0,,Y
