,Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
0,IDCJAC0001,70014,1939,3,94.7,Y
1,IDCJAC0001,70014,1939,4,75.0,Y
2,IDCJAC0001,70014,1939,5,21.5,Y
3,IDCJAC0001,70014,1939,6,57.7,Y
4,IDCJAC0001,70014,1939,7,33.3,Y
5,IDCJAC0001,70014,1939,8,110.1,Y
6,IDCJAC0001,70014,1939,9,16.1,Y
7,IDCJAC0001,70014,1939,10,77.0,Y
8,IDCJAC0001,70014,1939,11,49.7,Y
9,IDCJAC0001,70014,1939,12,21.6,Y
10,IDCJAC0001,70014,1940,1,35.6,Y
11,IDCJAC0001,70014,1940,2,3.8,Y
12,IDCJAC0001,70014,1940,3,2.3,Y
13,IDCJAC0001,70014,1940,4,154.1,Y
14,IDCJAC0001,70014,1940,5,11.5,Y
15,IDCJAC0001,70014,1940,6,11.6,Y
16,IDCJAC0001,70014,1940,7,6.5,Y
17,IDCJAC0001,70014,1940,8,21.6,Y
18,IDCJAC0001,70014,1940,9,56.6,Y
19,IDCJAC0001,70014,1940,10,6.4,Y
20,IDCJAC0001,70014,1940,11,13.2,Y
21,IDCJAC0001,70014,1940,12,49.5,Y
22,IDCJAC0001,70014,1941,1,163.9,Y
23,IDCJAC0001,70014,1941,2,74.8,Y
24,IDCJAC0001,70014,1941,3,25.8,Y
25,IDCJAC0001,70014,1941,4,19.2,Y
26,IDCJAC0001,70014,1941,5,40.2,Y
27,IDCJAC0001,70014,1941,6,36.9,Y
28,IDCJAC0001,70014,1941,7,10.6,Y
29,IDCJAC0001,70014,1941,8,22.4,Y
30,IDCJAC0001,70014,1941,9,70.3,Y
31,IDCJAC0001,70014,1941,10,29.8,Y
32,IDCJAC0001,70014,1941,11,21.4,Y
33,IDCJAC0001,70014,1941,12,26.6,Y
34,IDCJAC0001,70014,1942,1,7.4,Y
35,IDCJAC0001,70014,1942,2,95.5,Y
36,IDCJAC0001,70014,1942,3,20.9,Y
37,IDCJAC0001,70014,1942,4,2.1,Y
38,IDCJAC0001,70014,1942,5,117.2,Y
39,IDCJAC0001,70014,1942,6,79.6,Y
40,IDCJAC0001,70014,1942,7,43.6,Y
41,IDCJAC0001,70014,1942,8,48.8,Y
42,IDCJAC0001,70014,1942,9,57.7,Y
43,IDCJAC0001,70014,1942,10,42.6,Y
44,IDCJAC0001,70014,1942,11,109.6,Y
45,IDCJAC0001,70014,1942,12,15.4,Y
46,IDCJAC0001,70014,1943,1,68.5,Y
47,IDCJAC0001,70014,1943,2,1.6,Y
48,IDCJAC0001,70014,1943,3,11.4,Y
49,IDCJAC0001,70014,1943,4,71.5,Y
50,IDCJAC0001,70014,1943,5,61.7,Y
51,IDCJAC0001,70014,1943,6,13.2,Y
52,IDCJAC0001,70014,1943,7,25.0,Y
53,IDCJAC0001,70014,1943,8,46.4,Y
54,IDCJAC0001,70014,1943,9,53.7,Y
55,IDCJAC0001,70014,1943,10,83.2,Y
56,IDCJAC0001,70014,1943,11,99.9,Y
57,IDCJAC0001,70014,1943,12,45.2,Y
58,IDCJAC0001,70014,1944,1,4.2,Y
59,IDCJAC0001,70014,1944,2,16.3,Y
60,IDCJAC0001,70014,1944,3,29.4,Y
61,IDCJAC0001,70014,1944,4,19.6,Y
62,IDCJAC0001,70014,1944,5,48.2,Y
63,IDCJAC0001,70014,1944,6,6.6,Y
64,IDCJAC0001,70014,1944,7,29.4,Y
65,IDCJAC0001,70014,1944,8,7.2,Y
66,IDCJAC0001,70014,1944,9,16.0,Y
67,IDCJAC0001,70014,1944,10,36.5,Y
68,IDCJAC0001,70014,1944,11,55.6,Y
69,IDCJAC0001,70014,1944,12,35.6,Y
70,IDCJAC0001,70014,1945,1,117.3,Y
71,IDCJAC0001,70014,1945,2,83.6,Y
72,IDCJAC0001,70014,1945,3,15.3,Y
73,IDCJAC0001,70014,1945,4,102.6,Y
74,IDCJAC0001,70014,1945,5,21.1,Y
75,IDCJAC0001,70014,1945,6,36.4,Y
76,IDCJAC0001,70014,1945,7,31.0,Y
77,IDCJAC0001,70014,1945,8,54.2,Y
78,IDCJAC0001,70014,1945,9,11.5,Y
79,IDCJAC0001,70014,1945,10,47.6,Y
80,IDCJAC0001,70014,1945,11,59.9,Y
81,IDCJAC0001,70014,1945,12,23.4,Y
82,IDCJAC0001,70014,1946,1,97.7,Y
83,IDCJAC0001,70014,1946,2,84.7,Y
84,IDCJAC0001,70014,1946,3,37.0,Y
85,IDCJAC0001,70014,1946,4,32.5,Y
86,IDCJAC0001,70014,1946,5,19.8,Y
87,IDCJAC0001,70014,1946,6,27.6,Y
88,IDCJAC0001,70014,1946,7,44.5,Y
89,IDCJAC0001,70014,1946,8,15.8,Y
90,IDCJAC0001,70014,1946,9,6.0,Y
91,IDCJAC0001,70014,1946,10,44.9,Y
92,IDCJAC0001,70014,1946,11,86.0,Y
93,IDCJAC0001,70014,1946,12,26.6,Y
94,IDCJAC0001,70014,1947,1,1.1,Y
95,IDCJAC0001,70014,1947,2,83.7,Y
96,IDCJAC0001,70014,1947,3,35.7,Y
97,IDCJAC0001,70014,1947,4,27.7,Y
98,IDCJAC0001,70014,1947,5,23.6,Y
99,IDCJAC0001,70014,1947,6,25.9,Y
100,IDCJAC0001,70014,1947,7,37.6,Y
101,IDCJAC0001,70014,1947,8,49.7,Y
102,IDCJAC0001,70014,1947,9,62.8,Y
103,IDCJAC0001,70014,1947,10,26.5,Y
104,IDCJAC0001,70014,1947,11,79.7,Y
105,IDCJAC0001,70014,1947,12,215.2,Y
106,IDCJAC0001,70014,1948,1,117.0,Y
107,IDCJAC0001,70014,1948,2,144.7,Y
108,IDCJAC0001,70014,1948,3,23.0,Y
109,IDCJAC0001,70014,1948,4,55.2,Y
110,IDCJAC0001,70014,1948,5,142.9,Y
111,IDCJAC0001,70014,1948,6,53.8,Y
112,IDCJAC0001,70014,1948,7,15.0,Y
113,IDCJAC0001,70014,1948,8,17.5,Y
114,IDCJAC0001,70014,1948,9,49.6,Y
115,IDCJAC0001,70014,1948,10,61.0,Y
116,IDCJAC0001,70014,1948,11,29.3,Y
117,IDCJAC0001,70014,1948,12,92.5,Y
118,IDCJAC0001,70014,1949,1,30.0,Y
119,IDCJAC0001,70014,1949,2,81.1,Y
120,IDCJAC0001,70014,1949,3,78.3,Y
121,IDCJAC0001,70014,1949,4,26.4,Y
122,IDCJAC0001,70014,1949,5,95.4,Y
123,IDCJAC0001,70014,1949,6,27.7,Y
124,IDCJAC0001,70014,1949,7,43.8,Y
125,IDCJAC0001,70014,1949,8,9.8,Y
126,IDCJAC0001,70014,1949,9,70.2,Y
127,IDCJAC0001,70014,1949,10,101.5,Y
128,IDCJAC0001,70014,1949,11,66.4,Y
129,IDCJAC0001,70014,1949,12,16.3,Y
130,IDCJAC0001,70014,1950,1,79.7,Y
131,IDCJAC0001,70014,1950,2,77.7,Y
132,IDCJAC0001,70014,1950,3,312.2,Y
133,IDCJAC0001,70014,1950,4,90.7,Y
134,IDCJAC0001,70014,1950,5,65.0,Y
135,IDCJAC0001,70014,1950,6,18.8,Y
136,IDCJAC0001,70014,1950,7,75.4,Y
137,IDCJAC0001,70014,1950,8,38.0,Y
138,IDCJAC0001,70014,1950,9,36.3,Y
139,IDCJAC0001,70014,1950,10,137.8,Y
140,IDCJAC0001,70014,1950,11,113.6,Y
141,IDCJAC0001,70014,1950,12,17.3,Y
142,IDCJAC0001,70014,1951,1,36.6,Y
143,IDCJAC0001,70014,1951,2,31.2,Y
144,IDCJAC0001,70014,1951,3,2.6,Y
145,IDCJAC0001,70014,1951,4,16.4,Y
146,IDCJAC0001,70014,1951,5,30.1,Y
147,IDCJAC0001,70014,1951,6,79.1,Y
148,IDCJAC0001,70014,1951,7,42.8,Y
149,IDCJAC0001,70014,1951,8,77.3,Y
150,IDCJAC0001,70014,1951,9,49.3,Y
151,IDCJAC0001,70014,1951,10,59.8,Y
152,IDCJAC0001,70014,1951,11,26.2,Y
153,IDCJAC0001,70014,1951,12,8.6,Y
154,IDCJAC0001,70014,1952,1,21.8,Y
155,IDCJAC0001,70014,1952,2,9.2,Y
156,IDCJAC0001,70014,1952,3,143.9,Y
157,IDCJAC0001,70014,1952,4,120.8,Y
158,IDCJAC0001,70014,1952,5,65.7,Y
159,IDCJAC0001,70014,1952,6,108.3,Y
160,IDCJAC0001,70014,1952,7,39.3,Y
161,IDCJAC0001,70014,1952,8,66.0,Y
162,IDCJAC0001,70014,1952,9,71.6,Y
163,IDCJAC0001,70014,1952,10,126.7,Y
164,IDCJAC0001,70014,1952,11,60.8,Y
165,IDCJAC0001,70014,1952,12,131.3,Y
166,IDCJAC0001,70014,1953,1,46.5,Y
167,IDCJAC0001,70014,1953,2,16.8,Y
168,IDCJAC0001,70014,1953,3,23.2,Y
169,IDCJAC0001,70014,1953,4,24.0,Y
170,IDCJAC0001,70014,1953,5,149.6,Y
171,IDCJAC0001,70014,1953,6,20.3,Y
172,IDCJAC0001,70014,1953,7,14.2,Y
173,IDCJAC0001,70014,1953,8,31.0,Y
174,IDCJAC0001,70014,1953,9,51.8,Y
175,IDCJAC0001,70014,1953,10,43.1,Y
176,IDCJAC0001,70014,1953,11,38.7,Y
177,IDCJAC0001,70014,1953,12,35.0,Y
178,IDCJAC0001,70014,1954,1,87.2,Y
179,IDCJAC0001,70014,1954,2,56.8,Y
180,IDCJAC0001,70014,1954,3,1.3,Y
181,IDCJAC0001,70014,1954,4,36.4,Y
182,IDCJAC0001,70014,1954,5,7.2,Y
183,IDCJAC0001,70014,1954,6,38.9,Y
184,IDCJAC0001,70014,1954,7,15.8,Y
185,IDCJAC0001,70014,1954,8,26.3,Y
186,IDCJAC0001,70014,1954,9,16.7,Y
187,IDCJAC0001,70014,1954,10,56.5,Y
188,IDCJAC0001,70014,1954,11,79.6,Y
189,IDCJAC0001,70014,1954,12,35.0,Y
190,IDCJAC0001,70014,1955,1,22.9,Y
191,IDCJAC0001,70014,1955,2,87.0,Y
192,IDCJAC0001,70014,1955,3,21.0,Y
193,IDCJAC0001,70014,1955,4,23.9,Y
194,IDCJAC0001,70014,1955,5,103.9,Y
195,IDCJAC0001,70014,1955,6,53.1,Y
