,Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
0,IDCJAC0002,70014,1939,3,21.7,Y
1,IDCJAC0002,70014,1939,4,18.8,Y
2,IDCJAC0002,70014,1939,5,17.3,Y
3,IDCJAC0002,70014,1939,6,11.4,Y
4,IDCJAC0002,70014,1939,7,10.1,Y
5,IDCJAC0002,70014,1939,8,11.7,Y
6,IDCJAC0002,70014,1939,9,15.5,Y
7,IDCJAC0002,70014,1939,10,18.6,Y
8,IDCJAC0002,70014,1939,11,21.4,Y
9,IDCJAC0002,70014,1939,12,27.0,Y
10,IDCJAC0002,70014,1940,1,28.8,Y
11,IDCJAC0002,70014,1940,2,29.5,Y
12,IDCJAC0002,70014,1940,3,29.9,Y
13,IDCJAC0002,70014,1940,4,18.6,Y
14,IDCJAC0002,70014,1940,5,14.2,Y
15,IDCJAC0002,70014,1940,6,12.1,Y
16,IDCJAC0002,70014,1940,7,11.8,Y
17,IDCJAC0002,70014,1940,8,14.1,Y
18,IDCJAC0002,70014,1940,9,17.3,Y
19,IDCJAC0002,70014,1940,10,22.4,Y
20,IDCJAC0002,70014,1940,11,22.8,Y
21,IDCJAC0002,70014,1940,12,28.9,Y
22,IDCJAC0002,70014,1941,1,25.1,Y
23,IDCJAC0002,70014,1941,2,24.9,Y
24,IDCJAC0002,70014,1941,3,22.8,Y
25,IDCJAC0002,70014,1941,4,21.6,Y
26,IDCJAC0002,70014,1941,5,15.7,Y
27,IDCJAC0002,70014,1941,6,11.7,Y
28,IDCJAC0002,70014,1941,7,12.0,Y
29,IDCJAC0002,70014,1941,8,13.7,Y
30,IDCJAC0002,70014,1941,9,16.3,Y
31,IDCJAC0002,70014,1941,10,19.3,Y
32,IDCJAC0002,70014,1941,11,25.5,Y
33,IDCJAC0002,70014,1941,12,27.6,Y
34,IDCJAC0002,70014,1942,1,31.2,Y
35,IDCJAC0002,70014,1942,2,26.2,Y
36,IDCJAC0002,70014,1942,3,25.2,Y
37,IDCJAC0002,70014,1942,4,21.5,Y
38,IDCJAC0002,70014,1942,5,15.5,Y
39,IDCJAC0002,70014,1942,6,12.3,Y
40,IDCJAC0002,70014,1942,7,10.7,Y
41,IDCJAC0002,70014,1942,8,12.5,Y
42,IDCJAC0002,70014,1942,9,15.3,Y
43,IDCJAC0002,70014,1942,10,18.5,Y
44,IDCJAC0002,70014,1942,11,21.3,Y
45,IDCJAC0002,70014,1942,12,26.9,Y
46,IDCJAC0002,70014,1943,1,26.9,Y
47,IDCJAC0002,70014,1943,2,28.7,Y
48,IDCJAC0002,70014,1943,3,26.8,Y
49,IDCJAC0002,70014,1943,4,17.0,Y
50,IDCJAC0002,70014,1943,5,13.4,Y
51,IDCJAC0002,70014,1943,6,10.2,Y
52,IDCJAC0002,70014,1943,7,9.0,Y
53,IDCJAC0002,70014,1943,8,9.3,Y
54,IDCJAC0002,70014,1943,9,13.7,Y
55,IDCJAC0002,70014,1943,10,18.0,Y
56,IDCJAC0002,70014,1943,11,19.4,Y
57,IDCJAC0002,70014,1943,12,24.3,Y
58,IDCJAC0002,70014,1944,1,30.3,Y
59,IDCJAC0002,70014,1944,2,27.5,Y
60,IDCJAC0002,70014,1944,3,24.6,Y
61,IDCJAC0002,70014,1944,4,18.7,Y
62,IDCJAC0002,70014,1944,5,13.7,Y
63,IDCJAC0002,70014,1944,6,11.6,Y
